"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19, 2020","10,935","10,970","10,975","10,905","8.10K","1.20%"
"Oct 16, 2020","10,805","10,940","10,940","10,745","7.00K","-1.32%"
"Oct 15, 2020","10,950","11,070","11,070","10,920","11.19K","-0.82%"
"Oct 14, 2020","11,040","11,020","11,050","11,005","9.57K","-0.36%"
"Oct 13, 2020","11,080","11,030","11,085","11,030","15.09K","0.50%"
"Oct 12, 2020","11,025","10,925","11,050","10,925","20.85K","1.47%"
"Oct 08, 2020","10,865","10,920","10,920","10,860","5.79K","0.28%"
"Oct 07, 2020","10,835","10,700","10,840","10,700","35.10K","-0.05%"
"Oct 06, 2020","10,840","10,920","10,920","10,740","42.98K","0.18%"
"Oct 05, 2020","10,820","10,765","10,830","10,730","9.78K","-0.41%"
"Sep 29, 2020","10,865","10,915","10,915","10,845","8.88K","0.93%"
"Sep 28, 2020","10,765","10,765","10,765","10,565","4.60K","1.13%"
"Sep 25, 2020","10,645","10,625","10,685","10,625","22.93K","0.19%"
"Sep 24, 2020","10,625","10,625","10,655","10,545","11.02K","-1.21%"
"Sep 23, 2020","10,755","10,640","10,785","10,640","5.25K","0.14%"
"Sep 22, 2020","10,740","10,900","10,900","10,645","10.51K","-2.32%"
"Sep 21, 2020","10,995","11,070","11,070","10,960","11.56K","-0.68%"
"Sep 18, 2020","11,070","11,240","11,240","11,070","24.61K","-0.58%"
"Sep 17, 2020","11,135","11,195","11,245","11,115","11.67K","0.04%"
"Sep 16, 2020","11,130","11,130","11,225","11,130","15.62K","0.00%"
"Sep 15, 2020","11,130","11,250","11,250","11,120","12.03K","-0.76%"
"Sep 14, 2020","11,215","11,285","11,285","11,105","8.20K","0.40%"
"Sep 11, 2020","11,170","10,970","11,170","10,970","8.82K","0.04%"
"Sep 10, 2020","11,165","11,350","11,350","11,100","13.94K","1.50%"
"Sep 09, 2020","11,000","11,015","11,015","10,960","15.35K","-2.00%"
"Sep 08, 2020","11,225","11,200","11,225","11,150","14.57K","1.86%"
"Sep 07, 2020","11,020","10,955","11,120","10,955","19.35K","-1.48%"
"Sep 04, 2020","11,185","10,970","11,220","10,970","26.14K","-0.67%"
"Sep 03, 2020","11,260","11,205","11,340","11,205","26.55K","1.21%"
"Sep 02, 2020","11,125","11,070","11,195","11,045","71.34K","0.23%"
"Sep 01, 2020","11,100","11,060","11,100","11,005","35.55K","-1.16%"
"Aug 31, 2020","11,230","11,260","11,290","11,135","35.11K","-0.53%"
"Aug 28, 2020","11,290","11,195","11,290","11,195","16.13K","-0.09%"
"Aug 27, 2020","11,300","11,170","11,315","11,170","19.74K","1.35%"
"Aug 26, 2020","11,150","11,205","11,220","11,150","28.10K","-0.49%"
"Aug 25, 2020","11,205","11,250","11,250","11,145","26.98K","1.40%"
"Aug 24, 2020","11,050","11,060","11,060","10,970","12.13K","-0.09%"
"Aug 21, 2020","11,060","11,220","11,220","11,010","24.29K","0.00%"
"Aug 20, 2020","11,060","11,165","11,220","10,970","36.33K","-0.94%"
"Aug 19, 2020","11,165","11,245","11,245","10,995","24.75K","0.86%"
"Aug 18, 2020","11,070","10,945","11,210","10,945","24.28K","-1.29%"
"Aug 14, 2020","11,215","11,295","11,350","11,160","96.22K","-0.66%"
"Aug 13, 2020","11,290","11,305","11,305","11,230","16.85K","1.16%"
"Aug 12, 2020","11,160","11,035","11,170","11,035","20.84K","0.54%"
"Aug 11, 2020","11,100","10,925","11,100","10,925","48.89K","0.68%"
"Aug 10, 2020","11,025","11,150","11,150","10,925","26.30K","0.92%"
"Aug 07, 2020","10,925","10,985","10,990","10,890","49.88K","-1.00%"
"Aug 06, 2020","11,035","11,070","11,085","10,975","56.52K","-0.23%"
"Aug 05, 2020","11,060","10,945","11,075","10,930","66.65K","0.59%"
"Aug 04, 2020","10,995","10,835","11,070","10,835","131.13K","1.81%"
"Aug 03, 2020","10,800","10,890","10,890","10,620","25.07K","-0.87%"
"Jul 31, 2020","10,895","11,190","11,190","10,830","42.98K","-2.07%"
"Jul 30, 2020","11,125","11,150","11,150","11,110","5.10K","0.04%"
"Jul 29, 2020","11,120","11,110","11,125","11,075","18.11K","-0.31%"
"Jul 28, 2020","11,155","11,135","11,195","11,105","24.02K","0.04%"
"Jul 27, 2020","11,150","11,250","11,250","11,065","16.85K","-0.89%"
"Jul 24, 2020","11,250","11,205","11,345","11,180","32.64K","-1.92%"
"Jul 23, 2020","11,470","11,330","11,470","11,330","7.41K","0.22%"
"Jul 22, 2020","11,445","11,430","11,495","11,405","51.59K","0.13%"
"Jul 21, 2020","11,430","11,320","11,430","11,320","64.07K","1.02%"
"Jul 20, 2020","11,315","11,305","11,365","11,275","22.39K","0.27%"
"Jul 17, 2020","11,285","11,205","11,340","11,205","23.54K","0.22%"
"Jul 16, 2020","11,260","11,320","11,395","11,245","28.02K","-0.53%"
"Jul 15, 2020","11,320","11,180","11,365","11,180","24.40K","1.80%"
"Jul 14, 2020","11,120","11,220","11,270","11,085","32.32K","-0.89%"
"Jul 13, 2020","11,220","10,980","11,260","10,980","32.66K","2.19%"
"Jul 10, 2020","10,980","10,950","11,040","10,935","15.14K","-1.52%"
"Jul 09, 2020","11,150","11,140","11,180","11,065","36.12K","0.13%"
"Jul 08, 2020","11,135","11,100","11,220","11,100","41.29K","-1.02%"
"Jul 07, 2020","11,250","11,350","11,350","11,200","33.74K","-0.53%"
"Jul 06, 2020","11,310","11,145","11,380","11,080","32.95K","1.48%"
"Jul 03, 2020","11,145","11,010","11,175","11,010","31.24K","1.23%"
"Jul 02, 2020","11,010","10,850","11,060","10,850","51.22K","1.66%"
"Jul 01, 2020","10,830","10,860","10,920","10,830","17.82K","-0.05%"
"Jun 30, 2020","10,835","10,800","10,885","10,800","8.47K","1.03%"
"Jun 29, 2020","10,725","10,785","10,785","10,670","21.07K","-1.61%"
"Jun 26, 2020","10,900","10,830","10,920","10,830","37.28K","1.11%"
"Jun 25, 2020","10,780","10,835","10,835","10,650","22.70K","-2.44%"
"Jun 24, 2020","11,050","11,010","11,055","10,980","33.09K","1.01%"
"Jun 23, 2020","10,940","10,865","10,970","10,845","11.30K","0.27%"
"Jun 22, 2020","10,910","11,045","11,045","10,840","17.54K","-0.55%"
"Jun 19, 2020","10,970","10,890","10,970","10,855","16.85K","0.73%"
"Jun 18, 2020","10,890","11,000","11,000","10,810","15.87K","-0.32%"
"Jun 17, 2020","10,925","10,855","10,940","10,855","20.98K","1.25%"
"Jun 16, 2020","10,790","10,350","10,865","10,350","17.26K","5.11%"
"Jun 15, 2020","10,265","10,580","10,590","10,265","37.03K","-2.24%"
"Jun 12, 2020","10,500","10,270","10,550","10,220","65.89K","-3.54%"
"Jun 11, 2020","10,885","11,190","11,190","10,840","60.40K","-2.90%"
"Jun 10, 2020","11,210","11,140","11,260","11,135","25.42K","-1.28%"
"Jun 09, 2020","11,355","11,385","11,390","11,295","67.62K","-0.26%"
"Jun 08, 2020","11,385","11,420","11,445","11,325","63.12K","1.34%"
"Jun 05, 2020","11,235","11,255","11,305","11,005","97.46K","-0.27%"
"Jun 04, 2020","11,265","11,135","11,265","11,075","72.48K","3.30%"
"Jun 03, 2020","10,905","10,655","10,955","10,655","75.53K","2.88%"
"Jun 02, 2020","10,600","10,440","10,600","10,430","29.94K","1.63%"
"Jun 01, 2020","10,430","10,450","10,450","10,220","37.62K","-0.19%"
"May 29, 2020","10,450","10,360","10,465","10,330","56.83K","0.10%"
"May 28, 2020","10,440","10,230","10,440","10,230","45.99K","2.35%"
"May 27, 2020","10,200","10,390","10,390","10,045","56.52K","-0.78%"
"May 26, 2020","10,280","10,005","10,285","9,985","57.17K","3.94%"
"May 25, 2020","9,890","9,755","9,890","9,755","18.11K","1.38%"
"May 22, 2020","9,755","9,860","9,860","9,705","22.62K","-1.06%"
"May 21, 2020","9,860","9,945","9,945","9,835","41.81K","0.72%"
"May 20, 2020","9,790","9,750","9,790","9,675","18.69K","-0.71%"
"May 19, 2020","9,860","10,090","10,090","9,735","23.63K","4.12%"
"May 18, 2020","9,470","9,415","9,495","9,405","7.96K","0.58%"
"May 15, 2020","9,415","9,415","9,445","9,390","7.36K","0.27%"
"May 14, 2020","9,390","9,495","9,500","9,390","12.59K","-2.09%"
"May 13, 2020","9,590","9,645","9,645","9,500","12.58K","-0.72%"
"May 12, 2020","9,660","9,790","9,790","9,640","17.01K","-1.68%"
"May 11, 2020","9,825","9,800","9,840","9,735","11.28K","0.87%"
"May 08, 2020","9,740","9,690","9,745","9,615","27.17K","1.83%"
"May 07, 2020","9,565","9,605","9,605","9,500","8.03K","-0.78%"
"May 06, 2020","9,640","9,890","9,890","9,580","15.64K","0.31%"
"May 04, 2020","9,610","9,705","9,785","9,590","17.25K","-2.73%"
"Apr 29, 2020","9,880","9,715","9,880","9,715","40.22K","2.07%"
"Apr 28, 2020","9,680","9,750","9,750","9,615","17.90K","0.62%"
"Apr 27, 2020","9,620","9,600","9,620","9,390","10.97K","2.23%"
"Apr 24, 2020","9,410","9,600","9,600","9,330","10.47K","-1.31%"
"Apr 23, 2020","9,535","9,415","9,535","9,415","10.47K","1.38%"
"Apr 22, 2020","9,405","9,630","9,630","9,285","12.90K","-2.54%"
"Apr 21, 2020","9,650","9,750","9,750","9,505","24.20K","-1.08%"
"Apr 20, 2020","9,755","9,720","9,755","9,645","11.69K","0.26%"
"Apr 17, 2020","9,730","9,655","9,735","9,600","25.88K","2.75%"
"Apr 16, 2020","9,470","9,765","9,850","9,310","20.03K","-3.32%"
"Apr 14, 2020","9,795","9,740","9,825","9,645","10.33K","0.56%"
"Apr 13, 2020","9,740","9,705","9,745","9,600","13.65K","-0.41%"
"Apr 10, 2020","9,780","9,630","9,780","9,630","16.27K","1.61%"
"Apr 09, 2020","9,625","9,605","9,650","9,550","31.37K","1.21%"
"Apr 08, 2020","9,510","9,600","9,600","9,425","13.94K","-0.16%"
"Apr 07, 2020","9,525","9,315","9,525","9,315","20.09K","3.65%"
"Apr 06, 2020","9,190","8,850","9,190","8,850","13.94K","2.40%"
"Apr 03, 2020","8,975","9,025","9,025","8,905","5.76K","-0.61%"
"Apr 02, 2020","9,030","8,970","9,030","8,890","16.62K","-1.10%"
"Apr 01, 2020","9,130","9,295","9,300","9,120","20.67K","-2.25%"
"Mar 31, 2020","9,340","9,260","9,390","9,260","6.61K","1.30%"
"Mar 30, 2020","9,220","9,445","9,445","9,020","18.91K","-2.64%"
"Mar 27, 2020","9,470","9,600","9,600","9,380","47.97K","2.21%"
"Mar 26, 2020","9,265","9,210","9,340","9,190","40.08K","1.20%"
"Mar 25, 2020","9,155","8,945","9,155","8,945","83.03K","5.78%"
"Mar 24, 2020","8,655","8,400","8,655","8,325","16.03K","3.04%"
"Mar 23, 2020","8,400","8,170","8,400","7,835","10.51K","1.51%"
"Mar 20, 2020","8,275","8,090","8,320","8,015","9.34K","4.22%"
