"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2020","14,675","14,125","14,710","14,125","236.39K","1.31%"
"Dec 09, 2020","14,485","14,540","14,580","14,235","962.66K","0.73%"
"Dec 08, 2020","14,380","14,930","15,065","14,300","1.25M","-3.78%"
"Dec 07, 2020","14,945","14,530","14,945","14,450","860.71K","3.53%"
"Dec 04, 2020","14,435","14,180","14,450","14,165","597.22K","1.98%"
"Dec 03, 2020","14,155","13,875","14,160","13,875","880.12K","1.58%"
"Dec 02, 2020","13,935","13,790","13,935","13,695","1.23M","1.31%"
"Dec 01, 2020","13,755","13,720","13,815","13,580","1.19M","0.92%"
"Nov 30, 2020","13,630","13,740","13,850","13,630","660.54K","-0.26%"
"Nov 27, 2020","13,665","13,445","13,750","13,445","2.18M","1.41%"
"Nov 26, 2020","13,475","13,265","13,515","13,120","2.64M","1.74%"
"Nov 25, 2020","13,245","13,390","13,545","13,095","755.77K","-0.04%"
"Nov 24, 2020","13,250","13,455","13,455","13,205","337.31K","-1.05%"
"Nov 23, 2020","13,390","13,325","13,505","13,285","269.21K","0.34%"
"Nov 20, 2020","13,345","13,195","13,390","13,160","285.67K","1.18%"
"Nov 19, 2020","13,190","12,955","13,190","12,865","147.66K","1.46%"
"Nov 18, 2020","13,000","12,815","13,050","12,765","716.56K","1.44%"
"Nov 17, 2020","12,815","13,015","13,015","12,725","442.04K","-1.20%"
"Nov 16, 2020","12,970","12,870","13,055","12,855","601.67K","1.09%"
"Nov 13, 2020","12,830","12,670","12,850","12,535","261.91K","0.23%"
"Nov 12, 2020","12,800","12,875","13,010","12,700","283.44K","-0.27%"
"Nov 11, 2020","12,835","12,755","12,900","12,575","218.60K","0.59%"
"Nov 10, 2020","12,760","12,950","12,975","12,670","628.22K","-1.96%"
"Nov 09, 2020","13,015","12,945","13,100","12,925","464.50K","1.32%"
"Nov 06, 2020","12,845","13,120","13,160","12,755","1.79M","-1.72%"
"Nov 05, 2020","13,070","12,995","13,140","12,955","1.10M","1.63%"
"Nov 04, 2020","12,860","12,680","12,980","12,510","2.43M","1.98%"
"Nov 03, 2020","12,610","12,385","12,695","12,385","958.26K","2.06%"
"Nov 02, 2020","12,355","12,175","12,445","12,090","555.97K","1.56%"
"Oct 30, 2020","12,165","12,550","12,645","12,135","875.13K","-3.72%"
"Oct 29, 2020","12,635","12,170","12,680","12,160","1.36M","1.73%"
"Oct 28, 2020","12,420","11,995","12,420","11,995","0.17K","3.07%"
"Oct 27, 2020","12,050","11,845","12,235","11,735","0.17K","1.09%"
"Oct 26, 2020","11,920","12,270","12,335","11,815","967.64K","-3.44%"
"Oct 23, 2020","12,345","12,390","12,510","12,220","422.28K","-0.68%"
"Oct 22, 2020","12,430","12,670","12,680","12,405","600.17K","-2.93%"
"Oct 21, 2020","12,805","12,680","12,835","12,495","684.77K","0.99%"
"Oct 20, 2020","12,680","12,500","12,680","12,260","643.53K","0.60%"
"Oct 19, 2020","12,605","12,755","12,915","12,515","527.29K","-1.14%"
"Oct 16, 2020","12,750","12,705","12,915","12,530","334.79K","-0.93%"
"Oct 15, 2020","12,870","13,075","13,095","12,695","263.98K","-2.17%"
"Oct 14, 2020","13,155","13,305","13,400","13,115","326.98K","-1.57%"
"Oct 13, 2020","13,365","13,510","13,570","13,240","195.65K","-0.93%"
"Oct 12, 2020","13,490","13,465","13,500","13,350","152.98K","0.45%"
"Oct 08, 2020","13,430","13,485","13,510","13,355","244.76K","-0.15%"
