,date,change,vaa_score,predict
0,2018-01-02,-0.013739802490339237,887.6500422654269,0.0
1,2018-01-03,0.0004353504571179556,702.6649746192893,0.0
2,2018-01-04,0.00870322019147074,1237.796437659033,0.0
3,2018-01-05,0.014236410698878377,2477.979617834395,0.0
4,2018-01-08,0.005529561888558021,2033.1855670103093,0.0
5,2018-01-09,0.0033840947546530664,2383.1849315068494,0.0
6,2018-01-10,-0.000843170320404707,2253.112436115843,0.0
7,2018-01-11,0.002953586497890237,2753.035443037975,0.0
8,2018-01-12,-0.002944888514934796,2103.0764331210194,0.0
9,2018-01-16,0.0025327142254114587,2058.122501063377,0.0
10,2018-01-17,-0.00042105263157898865,1863.1795639162035,0.0
11,2018-01-18,0.0016849199663016012,1883.15332197615,0.0
12,2018-01-19,0.000420521446593769,1983.0404892450442,0.0
13,2018-01-22,0.008406893652795233,2993.2034760491733,0.0
14,2018-01-23,0.007086285952480287,3543.379163108454,0.0
15,2018-01-24,0.0,3458.379163108454,0.0
16,2018-01-25,-0.008278145695364225,3133.281930798804,0.0
17,2018-01-26,-0.0008347245409014992,2523.3084832904883,0.0
18,2018-01-29,0.0025062656641603454,2608.365822241305,0.0
19,2018-01-30,-0.011249999999999982,1403.3970396168916,1.0
20,2018-01-31,-0.0008428150021070335,1008.3812010443864,0.0
21,2018-02-01,0.004217629692113034,1488.3261432269196,0.0
22,2018-02-02,-0.01595968080638388,207.95916631220757,1.0
23,2018-02-05,-0.014938113529662789,-987.284263959391,1.0
24,2018-02-06,-0.0524263431542461,-5632.935919055649,1.0
25,2018-02-07,0.03292181069958855,-2547.5620253164557,1.0
26,2018-02-08,0.006640106241699861,-1862.5199831720656,1.0
27,2018-02-09,-0.02902374670184693,-3942.8202531645566,1.0
28,2018-02-12,-0.0040760869565217295,-3977.86112283664,1.0
29,2018-02-13,0.005911778080945895,-3242.8235789473683,1.0
30,2018-02-14,0.0009041591320071429,-2692.808761583825,1.0
31,2018-02-20,-0.0180378354597448,-1902.7414880201763,1.0
32,2018-02-21,0.0044802867383513245,-1637.7853272196749,1.0
33,2018-02-22,-0.00267618198037467,-1887.8940397350993,1.0
34,2018-02-23,0.01073345259391778,-1107.7748344370862,1.0
35,2018-02-26,0.007522123893805244,-612.5959933222036,1.0
36,2018-02-27,-0.0013175230566534468,-487.6015037593984,1.0
37,2018-02-28,-0.01187335092348285,-1517.7650000000003,1.0
38,2018-03-02,-0.006230529595015577,-2112.70796460177,1.0
39,2018-03-05,-0.019704433497536922,-3972.9211303247575,1.0
40,2018-03-06,0.010507080858839668,-3142.8517429651406,1.0
41,2018-03-07,-0.013562386980108476,-4092.824583866837,1.0
42,2018-03-08,0.02016498625114571,-2147.4263431542463,1.0
43,2018-03-09,0.008086253369272267,-1591.687242798354,1.0
44,2018-03-12,0.002673796791443861,-887.0478087649403,1.0
45,2018-03-13,0.002666666666666595,-992.0949868073878,1.0
46,2018-03-14,-0.011524822695035408,-2386.8804347826085,1.0
47,2018-03-15,0.0017937219730941312,-2376.8090040927696,1.0
48,2018-03-16,0.0026857654431513556,-2056.8481012658226,1.0
49,2018-03-19,0.0,-2276.859078590786,1.0
50,2018-03-20,-0.0058035714285714635,-2627.242850857897,1.0
51,2018-03-21,0.010776829815895894,-1821.8978494623657,1.0
52,2018-03-22,-0.012438916037316727,-2942.101694915254,1.0
53,2018-03-23,-0.03238866396761131,-5997.456171735242,1.0
54,2018-03-26,0.01766620176662026,-4707.376991150442,1.0
55,2018-03-27,-0.002740977615349527,-4602.495388669302,1.0
56,2018-03-28,-0.010535959688502072,-5397.601583113456,1.0
57,2018-03-29,0.008333333333333304,-4797.368491321762,1.0
58,2018-04-02,-0.012195121951219523,-4282.010963910461,1.0
59,2018-04-03,-0.0036579789666209006,-4362.179023508137,1.0
60,2018-04-04,-0.00045892611289577445,-4097.02199816682,1.0
61,2018-04-05,0.011019283746556363,-3217.1293800539083,1.0
62,2018-04-06,0.008174386920980936,-3017.128342245989,1.0
63,2018-04-09,0.002702702702702675,-3532.128,1.0
64,2018-04-10,0.0242587601078168,-2036.872340425532,1.0
65,2018-04-11,-0.01403508771929829,-3646.903139013453,1.0
66,2018-04-12,-0.0040035587188611554,-3891.9731423455687,1.0
67,2018-04-13,0.00937918713711472,-3376.8928571428573,1.0
68,2018-04-16,0.003097345132743401,-2696.855357142857,1.0
69,2018-04-17,0.0013233348037053894,-2941.7682981589583,1.0
70,2018-04-18,0.004405286343612369,-2616.8454020435365,1.0
71,2018-04-19,-0.001315789473684159,-2616.708502024291,1.0
72,2018-04-20,-0.0017566974088712994,-2981.319386331939,1.0
73,2018-04-23,0.010118785745710568,-2596.413430790315,1.0
74,2018-04-24,0.0034843205574912606,-2631.334860284013,1.0
75,2018-04-25,-0.01128472222222221,-3631.3444444444444,1.0
76,2018-04-26,0.006145741878841093,-2846.371900826446,1.0
77,2018-04-27,0.002617801047120505,-2356.5447154471544,1.0
78,2018-04-30,0.003916449086161844,-2421.341563786008,1.0
79,2018-05-02,0.0030342436064152434,-1546.2565396971088,1.0
80,2018-05-03,0.010371650821088929,-901.1184573002756,1.0
81,2018-05-04,-0.008982035928143728,-1936.373297002725,1.0
82,2018-05-08,0.01337936987483812,-31.308108108108172,1.0
83,2018-05-09,-0.002129471890971013,408.6307277628032,0.0
84,2018-05-10,0.008109261630388387,3603.4315789473685,0.0
85,2018-05-11,-0.00042337002540215884,1993.6032028469751,0.0
86,2018-05-14,-0.0033883947479881327,1608.6109870477892,0.0
