"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","42,505","42,535","42,570","42,395","48.10K","-0.65%"
"Dec 14, 2020","42,785","42,765","42,840","42,765","25.55K","0.38%"
"Dec 11, 2020","42,625","42,730","42,730","42,550","54.62K","-0.21%"
"Dec 10, 2020","42,715","42,755","42,780","42,660","45.83K","-1.09%"
"Dec 09, 2020","43,185","43,080","43,190","43,080","71.55K","0.83%"
"Dec 08, 2020","42,830","42,835","42,855","42,740","42.70K","-0.15%"
"Dec 07, 2020","42,895","42,805","43,035","42,805","77.53K","0.39%"
"Dec 04, 2020","42,730","42,670","42,755","42,665","48.07K","0.14%"
"Dec 03, 2020","42,670","42,595","42,725","42,575","79.86K","0.35%"
"Dec 02, 2020","42,520","42,570","42,575","42,400","65.62K","-0.04%"
"Dec 01, 2020","42,535","42,360","42,575","42,330","50.64K","1.26%"
"Nov 30, 2020","42,005","42,385","42,385","41,970","99.69K","-0.58%"
"Nov 27, 2020","42,250","42,105","42,255","42,055","72.68K","-0.20%"
"Nov 26, 2020","42,335","42,285","42,345","42,215","38.99K","0.04%"
"Nov 25, 2020","42,320","42,345","42,530","42,265","97.39K","0.95%"
"Nov 24, 2020","41,920","41,810","41,965","41,760","54.85K","1.04%"
"Nov 23, 2020","41,490","41,365","41,500","41,360","43.46K","0.13%"
"Nov 20, 2020","41,435","41,330","41,500","41,310","67.10K","-0.19%"
"Nov 19, 2020","41,515","41,425","41,545","41,370","80.87K","-0.57%"
"Nov 18, 2020","41,755","41,985","42,020","41,755","67.38K","-0.55%"
"Nov 17, 2020","41,985","42,195","42,200","41,905","61.49K","-0.25%"
"Nov 16, 2020","42,090","41,950","42,105","41,900","157.10K","2.21%"
"Nov 13, 2020","41,180","41,125","41,200","40,950","28.50K","-0.17%"
"Nov 12, 2020","41,250","41,505","41,555","41,180","56.59K","-0.24%"
"Nov 11, 2020","41,350","41,160","41,380","41,100","51.07K","0.85%"
"Nov 10, 2020","41,000","41,320","41,370","40,895","35.44K","-0.93%"
"Nov 09, 2020","41,385","41,075","41,490","41,075","98.66K","2.16%"
"Nov 06, 2020","40,510","40,495","40,745","40,470","50.58K","0.56%"
"Nov 05, 2020","40,285","39,975","40,465","39,955","40.13K","2.17%"
"Nov 04, 2020","39,430","39,400","39,945","38,880","129.37K","2.00%"
"Nov 03, 2020","38,655","38,515","38,730","38,495","37.89K","1.50%"
"Nov 02, 2020","38,085","37,855","38,185","37,790","37.91K","1.01%"
"Oct 30, 2020","37,705","38,185","38,195","37,590","26.15K","-2.24%"
"Oct 29, 2020","38,570","38,215","38,570","38,210","53.32K","-1.75%"
"Oct 28, 2020","39,255","39,240","39,275","39,145","186.74K","-1.13%"
"Oct 27, 2020","39,705","39,500","39,720","39,500","34.54K","-0.59%"
"Oct 26, 2020","39,940","40,090","40,130","39,925","76.29K","-0.35%"
"Oct 23, 2020","40,080","40,185","40,260","40,075","21.94K","0.67%"
"Oct 22, 2020","39,815","39,800","39,855","39,675","33.02K","-1.17%"
"Oct 21, 2020","40,285","40,175","40,310","40,140","23.00K","0.51%"
"Oct 20, 2020","40,080","40,115","40,165","39,955","30.80K","-1.37%"
"Oct 19, 2020","40,635","40,505","40,655","40,505","22.17K","0.28%"
"Oct 16, 2020","40,520","40,575","40,670","40,455","14.73K","0.24%"
"Oct 15, 2020","40,425","40,635","40,635","40,360","40.51K","-1.21%"
"Oct 14, 2020","40,920","40,905","41,035","40,830","23.63K","-0.53%"
"Oct 13, 2020","41,140","41,120","41,160","40,965","50.39K","1.31%"
"Oct 12, 2020","40,610","40,395","40,650","40,395","62.28K","1.61%"
"Oct 08, 2020","39,965","39,775","39,975","39,760","98.07K","1.74%"
"Oct 07, 2020","39,280","39,050","39,300","39,005","29.03K","-0.83%"
"Oct 06, 2020","39,610","39,525","39,655","39,500","21.50K","1.07%"
"Oct 05, 2020","39,190","39,200","39,295","39,125","31.22K","0.13%"
"Sep 29, 2020","39,140","39,155","39,230","39,105","18.17K","1.20%"
"Sep 28, 2020","38,675","38,430","38,675","38,410","18.52K","2.14%"
"Sep 25, 2020","37,865","37,960","38,010","37,840","104.91K","0.85%"
