"Date","Price","Open","High","Low","Change %"
"May 15, 2020","11.5214","11.4450","11.5497","11.4218","0.67%"
"May 14, 2020","11.4450","11.4688","11.5468","11.4295","-0.21%"
"May 13, 2020","11.4688","11.4502","11.4829","11.4168","0.16%"
"May 12, 2020","11.4502","11.3610","11.4575","11.3535","0.78%"
"May 11, 2020","11.3621","11.4390","11.4498","11.3453","-0.64%"
"May 08, 2020","11.4358","11.4796","11.4873","11.4136","-0.38%"
"May 07, 2020","11.4796","11.5880","11.5989","11.4501","-0.89%"
"May 06, 2020","11.5826","11.4736","11.5951","11.4614","1.00%"
"May 05, 2020","11.4683","11.4683","11.4867","11.4257","0.00%"
"May 04, 2020","11.4683","11.4667","11.5299","11.4412","0.10%"
"May 01, 2020","11.4571","11.3257","11.4863","11.3006","1.16%"
"Apr 30, 2020","11.3257","11.3490","11.3729","11.2734","-0.21%"
"Apr 29, 2020","11.3490","11.4321","11.4599","11.3490","-0.73%"
"Apr 28, 2020","11.4321","11.4008","11.4495","11.3834","0.28%"
"Apr 27, 2020","11.3997","11.4490","11.4893","11.3787","-0.40%"
"Apr 24, 2020","11.4460","11.4647","11.5063","11.4396","-0.16%"
"Apr 23, 2020","11.4647","11.4534","11.4796","11.3875","0.10%"
"Apr 22, 2020","11.4534","11.4415","11.5083","11.4078","0.07%"
"Apr 21, 2020","11.4457","11.3414","11.5481","11.3249","0.92%"
"Apr 20, 2020","11.3414","11.2986","11.3475","11.2680","0.27%"
"Apr 17, 2020","11.3112","11.3841","11.3952","11.2711","-0.64%"
"Apr 16, 2020","11.3841","11.3944","11.4437","11.3499","-0.09%"
"Apr 15, 2020","11.3944","11.3090","11.4145","11.2879","0.75%"
"Apr 14, 2020","11.3090","11.2824","11.3463","11.2648","0.24%"
"Apr 13, 2020","11.2824","11.1682","11.3296","11.1682","0.99%"
"Apr 10, 2020","11.1721","11.1585","11.2107","11.1285","0.07%"
