"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2021","12,135","12,150","12,150","12,060","3.15K","0.00%"
"Jan 06, 2021","12,135","12,125","12,140","12,090","2.36K","0.08%"
"Jan 05, 2021","12,125","12,125","12,130","12,040","4.22K","0.08%"
"Jan 04, 2021","12,115","12,105","12,135","12,040","6.42K","0.12%"
"Dec 30, 2020","12,100","12,060","12,120","12,045","1.18K","0.37%"
"Dec 29, 2020","12,055","12,030","12,085","12,030","3.10K","0.21%"
"Dec 28, 2020","12,030","12,010","12,090","12,000","2.36K","-0.12%"
"Dec 24, 2020","12,045","12,050","12,050","11,995","0.38K","0.38%"
"Dec 23, 2020","12,000","12,020","12,020","11,970","0.92K","-0.21%"
"Dec 22, 2020","12,025","12,050","12,060","11,955","1.61K","-0.37%"
"Dec 21, 2020","12,070","12,050","12,100","11,985","13.64K","0.17%"
"Dec 18, 2020","12,050","12,020","12,085","11,985","0.88K","0.25%"
"Dec 17, 2020","12,020","11,995","12,035","11,970","1.53K","0.21%"
"Dec 16, 2020","11,995","12,040","12,045","11,965","2.03K","-0.04%"
"Dec 15, 2020","12,000","12,030","12,030","11,955","1.45K","-0.29%"
"Dec 14, 2020","12,035","12,045","12,045","11,950","1.28K","0.67%"
"Dec 11, 2020","11,955","12,060","12,060","11,955","1.23K","-0.83%"
"Dec 10, 2020","12,055","12,030","12,055","11,955","2.85K","0.08%"
"Dec 09, 2020","12,045","12,050","12,050","12,000","0.45K","0.38%"
"Dec 08, 2020","12,000","11,950","12,045","11,950","0.92K","0.13%"
"Dec 07, 2020","11,985","11,975","11,985","11,950","0.73K","0.08%"
"Dec 04, 2020","11,975","11,945","11,980","11,925","7.71K","0.08%"
"Dec 03, 2020","11,965","12,020","12,020","11,910","1.29K","-0.21%"
"Dec 02, 2020","11,990","11,935","12,000","11,895","1.19K","0.46%"
"Dec 01, 2020","11,935","12,045","12,045","11,870","1.16K","0.34%"
"Nov 30, 2020","11,895","11,910","11,910","11,865","0.57K","-0.13%"
"Nov 27, 2020","11,910","11,885","11,945","11,860","2.55K","-0.25%"
"Nov 26, 2020","11,940","11,885","11,975","11,860","1.46K","-0.21%"
"Nov 25, 2020","11,965","11,885","11,970","11,880","2.13K","0.38%"
"Nov 24, 2020","11,920","11,885","11,920","11,840","7.63K","0.29%"
"Nov 23, 2020","11,885","11,900","11,910","11,825","1.09K","-0.34%"
"Nov 20, 2020","11,925","11,820","11,925","11,820","1.80K","0.13%"
"Nov 19, 2020","11,910","11,830","11,910","11,830","1.18K","0.13%"
"Nov 18, 2020","11,895","11,815","11,905","11,810","1.74K","0.38%"
"Nov 17, 2020","11,850","11,865","11,885","11,800","2.84K","-0.13%"
"Nov 16, 2020","11,865","11,770","11,865","11,765","5.42K","0.25%"
"Nov 13, 2020","11,835","11,865","11,870","11,780","0.76K","-0.38%"
"Nov 12, 2020","11,880","11,820","11,915","11,810","3.59K","-0.17%"
"Nov 11, 2020","11,900","11,815","11,905","11,815","0.92K","0.17%"
"Nov 10, 2020","11,880","11,750","11,895","11,750","1.48K","1.11%"
"Nov 09, 2020","11,750","11,750","11,750","11,720","0.65K","0.00%"
"Nov 06, 2020","11,750","11,730","11,750","11,730","0.80K","0.00%"
"Nov 05, 2020","11,750","11,700","11,750","11,675","1.60K","0.90%"
"Nov 04, 2020","11,645","11,635","11,670","11,585","0.19K","0.09%"
"Nov 03, 2020","11,635","11,555","11,635","11,550","0.28K","0.13%"
"Nov 02, 2020","11,620","11,550","11,620","11,530","0.55K","0.61%"
"Oct 30, 2020","11,550","11,685","11,685","11,540","0.68K","-0.09%"
"Oct 29, 2020","11,560","11,535","11,615","11,530","2.82K","-0.52%"
"Oct 28, 2020","11,620","11,685","11,695","11,600","1.14K","-0.47%"
"Oct 27, 2020","11,675","11,685","11,720","11,615","0.98K","-0.04%"
"Oct 26, 2020","11,680","11,640","11,695","11,640","1.32K","0.39%"
"Oct 23, 2020","11,635","11,695","11,695","11,635","1.51K","-0.09%"
"Oct 22, 2020","11,645","11,645","11,700","11,635","0.22K","0.00%"
"Oct 21, 2020","11,645","11,635","11,675","11,630","22.11K","-0.13%"
"Oct 20, 2020","11,660","11,675","11,675","11,630","1.00K","-0.04%"
"Oct 19, 2020","11,665","11,725","11,725","11,625","2.35K","-0.04%"
"Oct 16, 2020","11,670","11,640","11,700","11,615","0.86K","-0.43%"
"Oct 15, 2020","11,720","11,735","11,735","11,660","0.33K","0.17%"
"Oct 14, 2020","11,700","11,715","11,720","11,640","7.11K","-0.13%"
"Oct 13, 2020","11,715","11,730","11,730","11,630","2.82K","0.13%"
"Oct 12, 2020","11,700","11,630","11,725","11,625","14.69K","0.26%"
"Oct 08, 2020","11,670","11,690","11,690","11,595","1.73K","-0.26%"
"Oct 07, 2020","11,700","11,570","11,700","11,570","2.20K","1.34%"
"Oct 06, 2020","11,545","11,545","11,650","11,545","3.53K","-0.56%"
"Oct 05, 2020","11,610","11,745","11,745","11,405","1.83K","0.39%"
"Sep 29, 2020","11,565","11,540","11,570","11,460","3.02K","0.22%"
"Sep 28, 2020","11,540","11,520","11,540","11,520","0.53K","0.17%"
"Sep 25, 2020","11,520","11,445","11,520","11,445","1.30K","0.26%"
"Sep 24, 2020","11,490","11,515","11,555","11,415","0.61K","-0.22%"
"Sep 23, 2020","11,515","11,570","11,580","11,515","0.36K","-0.48%"
"Sep 22, 2020","11,570","11,550","11,585","11,525","1.04K","-0.47%"
"Sep 21, 2020","11,625","11,635","11,665","11,590","1.24K","-0.17%"
"Sep 18, 2020","11,645","11,695","11,695","11,595","1.14K","-0.43%"
"Sep 17, 2020","11,695","11,700","11,700","11,600","0.64K","0.60%"
"Sep 16, 2020","11,625","11,645","11,690","11,590","0.86K","-0.17%"
"Sep 15, 2020","11,645","11,575","11,680","11,575","0.74K","-0.30%"
"Sep 14, 2020","11,680","11,640","11,680","11,580","0.87K","0.34%"
"Sep 11, 2020","11,640","11,580","11,675","11,575","1.85K","0.04%"
"Sep 10, 2020","11,635","11,490","11,655","11,490","1.05K","0.69%"
"Sep 09, 2020","11,555","11,555","11,660","11,555","1.50K","-1.11%"
"Sep 08, 2020","11,685","11,630","11,685","11,595","1.07K","-0.17%"
"Sep 07, 2020","11,705","11,705","11,705","11,595","1.43K","-0.21%"
"Sep 04, 2020","11,730","11,705","11,735","11,620","2.75K","0.21%"
"Sep 03, 2020","11,705","11,640","11,720","11,635","1.47K","0.04%"
"Sep 02, 2020","11,700","11,615","11,705","11,615","1.67K","-0.17%"
"Sep 01, 2020","11,720","11,705","11,720","11,605","2.01K","0.17%"
"Aug 31, 2020","11,700","11,605","11,700","11,600","1.55K","0.82%"
"Aug 28, 2020","11,605","11,555","11,645","11,555","2.28K","0.04%"
"Aug 27, 2020","11,600","11,580","11,645","11,580","1.07K","0.00%"
"Aug 26, 2020","11,600","11,645","11,645","11,580","0.67K","0.22%"
"Aug 25, 2020","11,575","11,555","11,590","11,550","2.90K","0.13%"
"Aug 24, 2020","11,560","11,540","11,585","11,535","1.28K","0.00%"
"Aug 21, 2020","11,560","11,525","11,565","11,525","1.00K","0.09%"
"Aug 20, 2020","11,550","11,530","11,590","11,530","2.93K","-0.04%"
"Aug 19, 2020","11,555","11,575","11,580","11,525","0.48K","0.00%"
"Aug 18, 2020","11,555","11,515","11,600","11,505","5.99K","-0.26%"
"Aug 14, 2020","11,585","11,550","11,595","11,545","1.00K","-0.22%"
"Aug 13, 2020","11,610","11,570","11,620","11,570","0.52K","-0.13%"
"Aug 12, 2020","11,625","11,545","11,655","11,545","1.55K","0.09%"
"Aug 11, 2020","11,615","11,565","11,655","11,560","1.46K","0.00%"
"Aug 10, 2020","11,615","11,550","11,650","11,550","1.97K","-0.34%"
"Aug 07, 2020","11,655","11,565","11,655","11,565","0.75K","0.04%"
"Aug 06, 2020","11,650","11,560","11,650","11,560","1.54K","0.17%"
"Aug 05, 2020","11,630","11,540","11,640","11,535","32.36K","0.00%"
"Aug 04, 2020","11,630","11,530","11,630","11,530","6.50K","0.35%"
"Aug 03, 2020","11,590","11,510","11,615","11,510","2.88K","0.70%"
"Jul 31, 2020","11,510","11,500","11,525","11,500","2.22K","0.17%"
"Jul 30, 2020","11,490","11,485","11,535","11,475","6.77K","0.22%"
"Jul 29, 2020","11,465","11,465","11,510","11,455","3.17K","-0.26%"
"Jul 28, 2020","11,495","11,590","11,590","11,415","0.79K","-0.09%"
"Jul 27, 2020","11,505","11,450","11,540","11,450","2.97K","-0.26%"
"Jul 24, 2020","11,535","11,450","11,550","11,450","0.83K","0.74%"
"Jul 23, 2020","11,450","11,450","11,485","11,450","3.43K","0.22%"
"Jul 22, 2020","11,425","11,430","11,470","11,425","1.52K","-0.04%"
"Jul 21, 2020","11,430","11,385","11,455","11,375","0.88K","0.35%"
"Jul 20, 2020","11,390","11,485","11,485","11,325","2.30K","0.22%"
"Jul 17, 2020","11,365","11,330","11,380","11,330","0.36K","0.35%"
"Jul 16, 2020","11,325","11,315","11,340","11,305","1.14K","0.67%"
"Jul 15, 2020","11,250","11,295","11,295","11,230","1.29K","-0.04%"
"Jul 14, 2020","11,255","11,300","11,300","11,250","5.04K","-0.04%"
"Jul 13, 2020","11,260","11,225","11,295","11,220","2.11K","0.09%"
"Jul 10, 2020","11,250","11,285","11,285","11,235","0.99K","-0.31%"
"Jul 09, 2020","11,285","11,250","11,295","11,250","0.26K","-0.13%"
"Jul 08, 2020","11,300","11,255","11,320","11,255","0.33K","0.09%"
"Jul 07, 2020","11,290","11,245","11,300","11,245","0.42K","0.13%"
"Jul 06, 2020","11,275","11,355","11,355","11,200","2.37K","-0.22%"
"Jul 03, 2020","11,300","11,180","11,310","11,180","13.29K","0.36%"
"Jul 02, 2020","11,260","11,190","11,260","11,170","2.57K","0.54%"
"Jul 01, 2020","11,200","11,175","11,220","11,125","2.42K","0.18%"
"Jun 30, 2020","11,180","11,220","11,220","11,135","0.77K","-0.53%"
"Jun 29, 2020","11,240","11,180","11,255","11,175","0.80K","-0.40%"
"Jun 26, 2020","11,285","11,295","11,295","11,195","0.94K","-0.31%"
"Jun 25, 2020","11,320","11,215","11,320","11,215","2.09K","0.09%"
"Jun 24, 2020","11,310","11,370","11,370","11,280","0.61K","-0.22%"
"Jun 23, 2020","11,335","11,370","11,370","11,270","0.77K","0.00%"
"Jun 22, 2020","11,335","11,360","11,360","11,270","0.61K","-0.26%"
"Jun 19, 2020","11,365","11,275","11,370","11,275","2.61K","-0.35%"
"Jun 18, 2020","11,405","11,400","11,405","11,315","0.23K","-0.09%"
"Jun 17, 2020","11,415","11,320","11,415","11,320","0.16K","1.42%"
"Jun 16, 2020","11,255","11,250","11,290","11,205","0.63K","0.04%"
"Jun 15, 2020","11,250","11,190","11,285","11,190","1.05K","0.27%"
"Jun 12, 2020","11,220","11,165","11,255","11,165","1.85K","-1.36%"
"Jun 11, 2020","11,375","11,310","11,385","11,305","2.06K","-0.31%"
"Jun 10, 2020","11,410","11,370","11,425","11,335","2.29K","-0.39%"
"Jun 09, 2020","11,455","11,465","11,475","11,375","3.31K","-0.09%"
"Jun 08, 2020","11,465","11,345","11,465","11,345","1.00K","0.79%"
"Jun 05, 2020","11,375","11,375","11,375","11,280","1.68K","0.13%"
"Jun 04, 2020","11,360","11,310","11,360","11,270","1.73K","0.71%"
"Jun 03, 2020","11,280","11,240","11,280","11,190","1.95K","0.71%"
"Jun 02, 2020","11,200","11,110","11,200","11,100","4.48K","0.45%"
"Jun 01, 2020","11,150","11,155","11,170","11,080","1.76K","-0.04%"
