"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 09, 2020","32,580","32,490","32,825","32,465","0.01K","1.26%"
"Nov 06, 2020","32,175","32,220","32,420","32,085","8.52M","0.25%"
"Nov 05, 2020","32,095","31,605","32,120","31,545","0.10K","2.20%"
"Nov 04, 2020","31,405","31,420","31,580","31,155","12.01M","0.62%"
"Nov 03, 2020","31,210","30,730","31,245","30,730","0.00K","1.99%"
"Nov 02, 2020","30,600","30,210","30,630","30,180","6.18M","1.53%"
"Nov 01, 2020","30,140","30,140","30,140","30,140","-","0.00%"
"Oct 30, 2020","30,140","30,860","30,875","30,140","13.72M","-2.71%"
"Oct 29, 2020","30,980","30,895","31,010","30,635","2.09K","-1.20%"
"Oct 28, 2020","31,355","31,075","31,360","30,980","4.94M","0.53%"
"Oct 27, 2020","31,190","31,235","31,425","31,120","5.44M","-0.86%"
"Oct 26, 2020","31,460","31,595","31,720","31,430","11.97K","-0.19%"
"Oct 25, 2020","31,520","31,520","31,520","31,520","-","0.00%"
"Oct 23, 2020","31,520","31,535","31,625","31,280","4.93M","0.37%"
"Oct 22, 2020","31,405","31,445","31,460","31,220","5.07M","-0.68%"
"Oct 21, 2020","31,620","31,575","31,710","31,470","6.81M","0.32%"
"Oct 20, 2020","31,520","31,165","31,520","31,050","7.30M","0.70%"
"Oct 19, 2020","31,300","31,395","31,550","31,280","0.01K","0.22%"
"Oct 16, 2020","31,230","31,490","31,560","31,020","6.42M","-0.59%"
"Oct 15, 2020","31,415","31,600","31,620","31,275","1.14K","-0.74%"
"Oct 14, 2020","31,650","32,000","32,020","31,590","6.82M","-0.99%"
"Oct 13, 2020","31,965","32,140","32,160","31,725","0.55K","0.08%"
"Oct 12, 2020","31,940","32,015","32,055","31,845","6.25M","0.41%"
"Oct 11, 2020","31,810","31,810","31,810","31,810","-","0.00%"
"Oct 08, 2020","31,810","32,020","32,080","31,710","5.81M","0.03%"
"Oct 07, 2020","31,800","31,300","31,815","31,255","4.84M","0.97%"
"Oct 06, 2020","31,495","31,575","31,710","31,405","0.09K","0.22%"
"Oct 05, 2020","31,425","31,070","31,540","31,015","8.15M","1.09%"
"Oct 04, 2020","31,085","31,085","31,085","31,085","-","0.00%"
"Sep 29, 2020","31,085","31,105","31,195","30,940","9.89M","0.94%"
"Sep 28, 2020","30,795","30,645","30,870","30,525","4.16M","1.47%"
"Sep 25, 2020","30,350","30,425","30,490","30,205","8.26M","0.45%"
"Sep 24, 2020","30,215","30,510","30,645","30,200","0.04K","-2.31%"
"Sep 23, 2020","30,930","31,015","31,085","30,330","0.01K","0.37%"
"Sep 22, 2020","30,815","31,495","31,560","30,680","14.94M","-2.33%"
"Sep 21, 2020","31,550","31,780","32,060","31,465","6.27M","-0.85%"
"Sep 20, 2020","31,820","31,820","31,820","31,820","-","0.00%"
"Sep 18, 2020","31,820","31,850","31,915","31,625","6.62M","0.33%"
"Sep 17, 2020","31,715","32,120","32,145","31,655","0.18K","-1.48%"
"Sep 16, 2020","32,190","32,230","32,380","32,130","0.50K","-0.28%"
"Sep 15, 2020","32,280","32,145","32,310","32,005","0.61K","0.78%"
"Sep 14, 2020","32,030","31,885","32,080","31,815","5.44M","1.34%"
"Sep 13, 2020","31,605","31,605","31,605","31,605","-","0.00%"
"Sep 11, 2020","31,605","31,475","31,635","31,285","7.40M","-0.06%"
"Sep 10, 2020","31,625","31,625","31,760","31,530","6.85M","0.96%"
"Sep 09, 2020","31,325","31,335","31,550","31,280","0.02K","-1.23%"
"Sep 08, 2020","31,715","31,605","31,715","31,455","0.01K","1.28%"
"Sep 07, 2020","31,315","31,175","31,410","31,055","4.56M","0.45%"
"Sep 04, 2020","31,175","30,810","31,225","30,790","4.79M","-1.39%"
"Sep 03, 2020","31,615","31,440","31,730","31,420","2.23K","1.51%"
"Sep 02, 2020","31,145","31,210","31,285","30,845","0.00K","0.52%"
"Sep 01, 2020","30,985","30,805","31,100","30,750","4.54M","0.78%"
"Aug 31, 2020","30,745","31,495","31,605","30,745","0.46K","-1.62%"
"Aug 28, 2020","31,250","31,305","31,600","31,075","5.05M","0.53%"
"Aug 27, 2020","31,085","31,450","31,485","31,085","0.03K","-0.89%"
"Aug 26, 2020","31,365","31,325","31,490","30,965","0.05K","0.02%"
"Aug 25, 2020","31,360","31,195","31,415","31,045","0.50K","1.31%"
"Aug 24, 2020","30,955","30,690","31,010","30,360","5.17M","1.11%"
"Aug 23, 2020","30,615","30,615","30,615","30,615","-","0.00%"
"Aug 21, 2020","30,615","30,510","30,980","30,305","5.61M","1.51%"
"Aug 20, 2020","30,160","31,110","31,255","30,115","0.13K","-3.86%"
"Aug 19, 2020","31,370","31,540","31,680","31,340","0.05K","0.35%"
"Aug 18, 2020","31,260","32,045","32,170","31,165","2.91K","-2.07%"
"Aug 17, 2020","31,920","31,920","31,920","31,920","-","0.00%"
"Aug 14, 2020","31,920","32,215","32,255","31,635","6.99M","-1.05%"
"Aug 13, 2020","32,260","32,605","32,620","31,925","0.00K","-0.05%"
