"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","11,410","11,360","11,450","11,350","690.81K","1.11%"
"Dec 24, 2020","11,285","11,350","11,420","11,255","470.15K","-0.31%"
"Dec 23, 2020","11,320","11,250","11,435","11,240","612.93K","0.94%"
"Dec 22, 2020","11,215","11,395","11,475","11,215","1.04M","-1.62%"
"Dec 21, 2020","11,400","11,305","11,415","11,230","896.86K","0.97%"
"Dec 18, 2020","11,290","11,280","11,345","11,250","617.73K","0.18%"
"Dec 17, 2020","11,270","11,150","11,270","11,130","1.03M","1.08%"
"Dec 16, 2020","11,150","11,095","11,180","11,090","562.94K","0.63%"
"Dec 15, 2020","11,080","11,140","11,140","11,005","368.33K","-0.09%"
"Dec 14, 2020","11,090","10,930","11,090","10,920","374.74K","1.60%"
"Dec 11, 2020","10,915","11,075","11,090","10,885","822.47K","-0.82%"
"Dec 10, 2020","11,005","11,100","11,105","10,995","848.23K","-1.43%"
"Dec 09, 2020","11,165","11,210","11,240","11,110","570.76K","-0.40%"
"Dec 08, 2020","11,210","11,250","11,270","11,175","332.66K","-0.13%"
"Dec 07, 2020","11,225","11,305","11,315","11,190","520.41K","-0.36%"
"Dec 04, 2020","11,265","11,345","11,365","11,230","631.77K","-0.09%"
"Dec 03, 2020","11,275","11,490","11,490","11,245","865.03K","-1.91%"
"Dec 02, 2020","11,495","11,465","11,520","11,430","784.68K","0.35%"
"Dec 01, 2020","11,455","11,195","11,455","11,195","918.51K","2.32%"
"Nov 30, 2020","11,195","11,210","11,425","11,150","1.07M","0.13%"
"Nov 27, 2020","11,180","11,120","11,180","11,120","467.46K","0.58%"
"Nov 26, 2020","11,115","11,120","11,160","11,050","563.36K","-0.04%"
"Nov 25, 2020","11,120","11,290","11,335","11,120","1.46M","-1.20%"
"Nov 24, 2020","11,255","11,400","11,415","11,255","475.53K","-1.14%"
"Nov 23, 2020","11,385","11,220","11,475","11,200","1.54M","1.47%"
"Nov 20, 2020","11,220","11,170","11,250","11,160","607.65K","0.63%"
"Nov 19, 2020","11,150","11,000","11,165","11,000","268.43K","1.00%"
"Nov 18, 2020","11,040","10,955","11,140","10,930","1.69M","1.01%"
"Nov 17, 2020","10,930","11,020","11,035","10,910","2.16M","-0.68%"
"Nov 16, 2020","11,005","10,880","11,045","10,825","768.22K","1.62%"
"Nov 13, 2020","10,830","11,005","11,075","10,750","1.34M","-1.77%"
"Nov 12, 2020","11,025","11,110","11,115","10,990","523.34K","-0.41%"
"Nov 11, 2020","11,070","11,195","11,250","11,020","841.03K","-1.07%"
"Nov 10, 2020","11,190","11,450","11,490","11,120","567.98K","-2.01%"
"Nov 09, 2020","11,420","11,145","11,485","11,130","2.03M","3.25%"
"Nov 06, 2020","11,060","11,305","11,355","10,975","928.47K","-1.86%"
"Nov 05, 2020","11,270","11,105","11,275","11,090","829.15K","2.97%"
"Nov 04, 2020","10,945","10,905","11,010","10,875","249.61K","0.64%"
"Nov 03, 2020","10,875","10,855","10,980","10,835","262.98K","0.18%"
"Nov 02, 2020","10,855","10,755","10,935","10,685","155.78K","1.59%"
"Oct 30, 2020","10,685","10,830","10,900","10,680","104.13K","-1.84%"
"Oct 29, 2020","10,885","10,700","10,885","10,665","150.61K","0.69%"
"Oct 28, 2020","10,810","10,690","10,810","10,650","103.72K","1.08%"
"Oct 27, 2020","10,695","10,650","10,715","10,635","129.50K","0.14%"
"Oct 26, 2020","10,680","10,860","10,940","10,675","120.38K","-1.52%"
"Oct 23, 2020","10,845","10,940","10,975","10,810","115.44K","-0.82%"
"Oct 22, 2020","10,935","10,975","10,980","10,870","126.06K","-0.09%"
"Oct 21, 2020","10,945","10,985","11,055","10,925","141.58K","-0.32%"
"Oct 20, 2020","10,980","10,985","11,035","10,865","143.95K","0.09%"
"Oct 19, 2020","10,970","10,945","11,120","10,945","84.51K","0.05%"
"Oct 16, 2020","10,965","11,030","11,075","10,915","169.77K","-0.36%"
"Oct 15, 2020","11,005","11,005","11,085","10,945","194.97K","-0.05%"
"Oct 14, 2020","11,010","11,045","11,065","10,995","143.15K","-0.32%"
"Oct 13, 2020","11,045","11,050","11,075","10,980","288.61K","0.36%"
"Oct 12, 2020","11,005","10,850","11,065","10,800","274.03K","1.99%"
"Oct 08, 2020","10,790","10,690","10,800","10,690","167.44K","1.22%"
"Oct 07, 2020","10,660","10,705","10,705","10,630","154.67K","-0.61%"
"Oct 06, 2020","10,725","10,695","10,780","10,695","158.44K","0.33%"
"Oct 05, 2020","10,690","10,640","10,710","10,600","73.08K","0.52%"
"Sep 29, 2020","10,635","10,620","10,700","10,570","149.42K","0.47%"
"Sep 28, 2020","10,585","10,670","10,700","10,575","109.99K","0.14%"
"Sep 25, 2020","10,570","10,595","10,725","10,550","162.03K","0.14%"
"Sep 24, 2020","10,555","10,700","10,700","10,500","153.16K","-1.54%"
"Sep 23, 2020","10,720","10,735","10,820","10,675","198.38K","-0.05%"
"Sep 22, 2020","10,725","10,845","10,900","10,725","212.25K","-1.15%"
"Sep 21, 2020","10,850","11,000","11,035","10,820","235.23K","-1.36%"
"Sep 18, 2020","11,000","10,820","11,000","10,655","218.29K","2.37%"
"Sep 17, 2020","10,745","10,840","10,840","10,645","446.66K","-0.60%"
"Sep 16, 2020","10,810","10,975","10,990","10,760","289.49K","-1.28%"
"Sep 15, 2020","10,950","10,910","10,950","10,815","500.93K","1.01%"
"Sep 14, 2020","10,840","10,800","10,900","10,765","145.15K","0.70%"
"Sep 11, 2020","10,765","10,640","10,765","10,630","219.69K","0.75%"
"Sep 10, 2020","10,685","10,770","10,865","10,685","324.72K","-0.51%"
"Sep 09, 2020","10,740","10,820","10,850","10,715","411.24K","-2.10%"
"Sep 08, 2020","10,970","10,990","11,020","10,860","486.59K","0.00%"
"Sep 07, 2020","10,970","11,060","11,125","10,965","268.51K","-0.86%"
"Sep 04, 2020","11,065","10,920","11,125","10,920","398.23K","-1.51%"
"Sep 03, 2020","11,235","11,305","11,370","11,235","313.37K","-0.58%"
"Sep 02, 2020","11,300","11,295","11,360","11,200","442.14K","0.85%"
"Sep 01, 2020","11,205","11,200","11,285","11,175","338.56K","-0.36%"
"Aug 31, 2020","11,245","11,165","11,360","11,165","572.23K","0.85%"
"Aug 28, 2020","11,150","10,905","11,180","10,905","586.55K","2.29%"
"Aug 27, 2020","10,900","10,930","10,975","10,850","328.26K","-0.05%"
"Aug 26, 2020","10,905","11,070","11,070","10,855","338.58K","-0.82%"
"Aug 25, 2020","10,995","11,000","11,075","10,955","446.17K","0.37%"
"Aug 24, 2020","10,955","10,890","11,000","10,875","271.41K","0.83%"
"Aug 21, 2020","10,865","10,730","10,910","10,720","333.29K","1.59%"
"Aug 20, 2020","10,695","10,850","10,855","10,635","499.87K","-1.79%"
"Aug 19, 2020","10,890","10,935","10,970","10,860","363.80K","0.00%"
"Aug 18, 2020","10,890","10,880","10,955","10,850","463.78K","2.16%"
"Aug 14, 2020","10,660","10,645","10,695","10,565","421.51K","0.42%"
"Aug 13, 2020","10,615","10,680","10,790","10,615","271.50K","0.47%"
"Aug 12, 2020","10,565","10,840","10,840","10,525","626.83K","-2.58%"
"Aug 11, 2020","10,845","10,820","10,965","10,750","342.83K","0.37%"
"Aug 10, 2020","10,805","10,785","10,810","10,710","360.32K","0.23%"
"Aug 07, 2020","10,780","10,865","10,920","10,530","462.05K","-0.74%"
"Aug 06, 2020","10,860","10,950","11,010","10,770","383.91K","-0.64%"
"Aug 05, 2020","10,930","11,020","11,100","10,840","651.05K","-0.59%"
"Aug 04, 2020","10,995","10,905","11,035","10,905","545.75K","1.10%"
"Aug 03, 2020","10,875","10,710","10,895","10,620","465.56K","1.54%"
"Jul 31, 2020","10,710","10,780","10,850","10,600","360.90K","0.19%"
"Jul 30, 2020","10,690","10,695","10,785","10,665","441.91K","0.38%"
"Jul 29, 2020","10,650","10,500","10,660","10,465","548.32K","1.43%"
"Jul 28, 2020","10,500","10,350","10,530","10,350","563.61K","1.94%"
"Jul 27, 2020","10,300","10,345","10,445","10,220","766.35K","-0.96%"
"Jul 24, 2020","10,400","10,765","10,810","10,310","901.08K","-3.70%"
"Jul 23, 2020","10,800","10,805","10,875","10,585","542.20K","-0.96%"
"Jul 22, 2020","10,905","10,835","10,990","10,745","461.61K","1.11%"
"Jul 21, 2020","10,785","10,955","11,010","10,740","1.17M","-0.42%"
"Jul 20, 2020","10,830","10,600","10,845","10,575","634.58K","2.56%"
"Jul 17, 2020","10,560","10,555","10,695","10,450","757.97K","0.24%"
"Jul 16, 2020","10,535","11,085","11,100","10,520","823.98K","-4.66%"
"Jul 15, 2020","11,050","11,040","11,145","10,895","610.36K","0.64%"
"Jul 14, 2020","10,980","11,100","11,155","10,835","769.99K","-1.35%"
"Jul 13, 2020","11,130","11,070","11,210","10,925","1.11M","1.37%"
"Jul 10, 2020","10,980","11,100","11,205","10,925","1.08M","-0.50%"
"Jul 09, 2020","11,035","11,100","11,250","10,880","1.41M","2.13%"
"Jul 08, 2020","10,805","10,800","11,000","10,700","704.08K","0.05%"
"Jul 07, 2020","10,800","10,995","11,195","10,750","1.72M","2.52%"
"Jul 06, 2020","10,535","9,925","10,550","9,925","1.17M","6.90%"
"Jul 03, 2020","9,855","9,665","9,900","9,665","711.96K","1.97%"
"Jul 02, 2020","9,665","9,410","9,675","9,410","1.29M","3.15%"
"Jul 01, 2020","9,370","9,190","9,465","9,170","878.21K","2.40%"
"Jun 30, 2020","9,150","9,105","9,195","9,080","245.32K","0.99%"
"Jun 29, 2020","9,060","9,100","9,175","9,055","150.05K","-1.25%"
"Jun 26, 2020","9,175","9,200","9,255","9,165","222.13K","-0.05%"
"Jun 25, 2020","9,180","9,150","9,230","9,105","148.23K","-0.65%"
"Jun 24, 2020","9,240","9,215","9,275","9,200","299.83K","0.49%"
"Jun 23, 2020","9,195","9,240","9,290","9,175","323.75K","-0.38%"
"Jun 22, 2020","9,230","9,255","9,315","9,215","300.64K","0.00%"
"Jun 19, 2020","9,230","9,090","9,250","9,065","408.70K","1.65%"
"Jun 18, 2020","9,080","8,990","9,100","8,965","210.81K","0.89%"
"Jun 17, 2020","9,000","8,985","9,020","8,950","140.25K","0.56%"
"Jun 16, 2020","8,950","8,870","9,020","8,840","214.60K","1.36%"
"Jun 15, 2020","8,830","8,945","8,945","8,815","173.05K","-1.34%"
"Jun 12, 2020","8,950","8,705","8,965","8,705","227.28K","-0.89%"
"Jun 11, 2020","9,030","9,025","9,035","8,865","310.40K","0.11%"
"Jun 10, 2020","9,020","9,095","9,140","9,005","272.21K","-0.88%"
"Jun 09, 2020","9,100","9,085","9,175","9,050","140.24K","0.17%"
"Jun 08, 2020","9,085","9,065","9,145","9,050","178.01K","0.44%"
"Jun 05, 2020","9,045","8,955","9,045","8,930","172.62K","1.01%"
"Jun 04, 2020","8,955","9,060","9,160","8,935","246.21K","-0.89%"
"Jun 03, 2020","9,035","9,065","9,170","9,035","269.40K","0.06%"
"Jun 02, 2020","9,030","9,040","9,105","9,010","199.99K","0.11%"
"Jun 01, 2020","9,020","8,730","9,030","8,710","306.99K","3.26%"
"May 29, 2020","8,735","8,655","8,780","8,605","224.81K","-0.06%"
"May 28, 2020","8,740","8,655","8,770","8,600","360.08K","1.04%"
"May 27, 2020","8,650","8,825","8,860","8,650","301.68K","-1.98%"
"May 26, 2020","8,825","8,720","8,825","8,715","207.56K","1.32%"
"May 25, 2020","8,710","8,670","8,775","8,650","450.02K","-0.23%"
"May 22, 2020","8,730","8,945","8,960","8,660","372.40K","-2.24%"
"May 21, 2020","8,930","9,085","9,175","8,930","274.86K","-1.38%"
"May 20, 2020","9,055","9,220","9,230","9,045","362.21K","-1.79%"
"May 19, 2020","9,220","9,085","9,255","9,085","381.92K","1.88%"
"May 18, 2020","9,050","8,945","9,050","8,910","99.02K","0.84%"
"May 15, 2020","8,975","8,985","9,000","8,930","199.28K","0.50%"
"May 14, 2020","8,930","9,065","9,070","8,905","148.00K","-1.71%"
"May 13, 2020","9,085","9,050","9,110","8,975","168.25K","-0.55%"
"May 12, 2020","9,135","9,005","9,135","8,945","129.50K","0.66%"
"May 11, 2020","9,075","9,085","9,175","9,060","514.96K","-0.06%"
"May 08, 2020","9,080","9,000","9,165","9,000","1.49M","0.89%"
"May 07, 2020","9,000","8,930","9,045","8,905","974.23K","0.67%"
"May 06, 2020","8,940","8,765","8,945","8,765","1.42M","2.23%"
"May 04, 2020","8,745","8,850","8,850","8,705","3.38M","-1.74%"
"Apr 29, 2020","8,900","8,760","8,930","8,760","1.16M","1.48%"
"Apr 28, 2020","8,770","8,835","8,835","8,670","952.39K","-0.11%"
"Apr 27, 2020","8,780","8,655","8,815","8,655","1.26M","1.62%"
"Apr 24, 2020","8,640","8,725","8,730","8,620","817.48K","-0.92%"
"Apr 23, 2020","8,720","8,735","8,840","8,720","904.79K","-0.06%"
"Apr 22, 2020","8,725","8,600","8,735","8,540","398.72K","1.10%"
"Apr 21, 2020","8,630","8,745","8,785","8,590","678.51K","-1.48%"
"Apr 20, 2020","8,760","8,790","8,790","8,605","424.92K","-0.51%"
"Apr 17, 2020","8,805","8,790","8,900","8,765","450.08K","0.69%"
"Apr 16, 2020","8,745","8,605","8,770","8,600","516.68K","0.06%"
"Apr 14, 2020","8,740","8,605","8,780","8,590","469.67K","2.46%"
"Apr 13, 2020","8,530","8,635","8,695","8,525","106.50K","-1.95%"
"Apr 10, 2020","8,700","8,685","8,730","8,660","1.10M","0.17%"
"Apr 09, 2020","8,685","8,720","8,755","8,640","209.77K","0.12%"
"Apr 08, 2020","8,675","8,755","8,755","8,675","352.49K","-0.63%"
"Apr 07, 2020","8,730","8,860","8,870","8,700","474.31K","0.63%"
"Apr 06, 2020","8,675","8,505","8,705","8,490","283.01K","2.00%"
"Apr 03, 2020","8,505","8,470","8,580","8,440","321.71K","0.47%"
"Apr 02, 2020","8,465","8,360","8,475","8,325","431.11K","0.95%"
"Apr 01, 2020","8,385","8,370","8,480","8,300","472.09K","0.54%"
"Mar 31, 2020","8,340","8,500","8,605","8,280","659.61K","-0.71%"
"Mar 30, 2020","8,400","8,395","8,405","8,300","466.81K","-1.23%"
"Mar 27, 2020","8,505","8,630","8,750","8,480","658.45K","-0.06%"
"Mar 26, 2020","8,510","8,560","8,620","8,430","986.43K","-0.47%"
"Mar 25, 2020","8,550","8,695","8,730","8,505","372.11K","0.88%"
"Mar 24, 2020","8,475","8,495","8,495","8,295","718.38K","3.48%"
"Mar 23, 2020","8,190","8,200","8,360","7,855","445.35K","-2.90%"
"Mar 20, 2020","8,435","8,415","8,550","8,355","473.00K","0.42%"
"Mar 19, 2020","8,400","8,560","8,735","8,275","503.58K","-1.18%"
"Mar 18, 2020","8,500","8,705","8,815","8,500","403.28K","-2.35%"
"Mar 17, 2020","8,705","8,280","8,790","8,270","264.29K","1.81%"
"Mar 16, 2020","8,550","8,985","9,055","8,490","219.68K","-4.52%"
"Mar 13, 2020","8,955","8,250","9,000","8,250","586.39K","1.07%"
"Mar 12, 2020","8,860","9,015","9,150","8,805","474.55K","-3.43%"
"Mar 11, 2020","9,175","9,285","9,300","9,120","262.76K","-1.02%"
"Mar 10, 2020","9,270","9,010","9,285","8,890","453.92K","1.98%"
"Mar 09, 2020","9,090","9,110","9,195","8,940","581.00K","-1.84%"
"Mar 06, 2020","9,260","9,305","9,335","9,250","555.46K","-1.44%"
"Mar 05, 2020","9,395","9,350","9,395","9,255","810.69K","2.12%"
"Mar 04, 2020","9,200","9,065","9,260","9,065","335.99K","0.66%"
"Mar 03, 2020","9,140","9,240","9,390","9,100","422.38K","-0.11%"
"Mar 02, 2020","9,150","8,935","9,200","8,930","269.82K","2.41%"
"Feb 28, 2020","8,935","9,075","9,190","8,885","581.93K","-3.72%"
"Feb 27, 2020","9,280","9,250","9,300","9,175","338.77K","0.32%"
"Feb 26, 2020","9,250","9,140","9,340","9,080","737.51K","-0.16%"
"Feb 25, 2020","9,265","9,175","9,330","9,160","694.44K","-1.12%"
"Feb 24, 2020","9,370","9,090","9,370","9,090","1.63M","0.86%"
"Feb 21, 2020","9,290","9,120","9,325","9,100","2.09M","0.76%"
"Feb 20, 2020","9,220","9,090","9,235","9,060","645.61K","1.88%"
"Feb 19, 2020","9,050","9,040","9,095","9,015","333.09K","0.11%"
"Feb 18, 2020","9,040","9,050","9,080","8,995","602.21K","-0.11%"
"Feb 17, 2020","9,050","8,900","9,080","8,850","609.78K","2.26%"
"Feb 14, 2020","8,850","8,875","8,990","8,845","617.61K","-0.23%"
"Feb 13, 2020","8,870","9,050","9,050","8,850","442.52K","-0.89%"
"Feb 12, 2020","8,950","8,870","8,955","8,840","504.26K","0.67%"
"Feb 11, 2020","8,890","8,785","8,895","8,780","455.71K","1.43%"
"Feb 10, 2020","8,765","8,670","8,795","8,560","708.78K","0.29%"
"Feb 07, 2020","8,740","8,785","8,785","8,670","309.92K","-0.23%"
"Feb 06, 2020","8,760","8,700","8,845","8,615","1.16M","1.62%"
"Feb 05, 2020","8,620","8,555","8,725","8,550","745.76K","1.53%"
"Feb 04, 2020","8,490","8,315","8,490","8,295","1.14M","2.66%"
"Feb 03, 2020","8,270","8,220","8,440","8,185","919.29K","-0.54%"
"Jan 31, 2020","8,315","8,350","8,475","8,290","430.91K","-0.78%"
"Jan 30, 2020","8,380","8,475","8,540","8,335","313.16K","-1.64%"
"Jan 29, 2020","8,520","8,330","8,550","8,330","536.15K","2.28%"
"Jan 28, 2020","8,330","8,220","8,450","8,195","893.55K","-6.30%"
"Jan 23, 2020","8,890","9,105","9,155","8,845","722.77K","-3.32%"
"Jan 22, 2020","9,195","9,125","9,195","9,040","775.56K","-0.16%"
"Jan 21, 2020","9,210","9,360","9,360","9,145","756.67K","-1.50%"
"Jan 20, 2020","9,350","9,305","9,360","9,300","372.13K","0.70%"
"Jan 17, 2020","9,285","9,300","9,330","9,270","334.54K","0.11%"
"Jan 16, 2020","9,275","9,285","9,310","9,250","409.79K","0.00%"
"Jan 15, 2020","9,275","9,345","9,350","9,260","421.41K","-0.75%"
"Jan 14, 2020","9,345","9,340","9,430","9,325","691.58K","0.70%"
"Jan 13, 2020","9,280","9,225","9,295","9,215","328.53K","0.60%"
"Jan 10, 2020","9,225","9,210","9,250","9,190","595.73K","0.54%"
"Jan 09, 2020","9,175","9,175","9,250","9,110","984.30K","0.94%"
"Jan 08, 2020","9,090","9,135","9,190","9,060","714.92K","-1.09%"
"Jan 07, 2020","9,190","9,160","9,195","9,100","713.63K","0.99%"
"Jan 06, 2020","9,100","9,140","9,205","9,055","487.23K","-1.03%"
"Jan 03, 2020","9,195","9,250","9,260","9,135","644.64K","0.60%"
"Jan 02, 2020","9,140","9,020","9,190","9,000","769.62K","2.35%"
"Dec 30, 2019","8,930","8,865","8,930","8,780","172.14K","0.85%"
"Dec 27, 2019","8,855","8,835","8,890","8,810","261.49K","-0.39%"
"Dec 26, 2019","8,890","8,885","8,955","8,835","356.03K","0.11%"
"Dec 24, 2019","8,880","8,880","8,895","8,830","137.82K","0.11%"
"Dec 23, 2019","8,870","8,920","8,950","8,850","167.58K","-0.95%"
"Dec 20, 2019","8,955","8,995","8,995","8,935","219.21K","-0.06%"
"Dec 19, 2019","8,960","9,020","9,020","8,925","141.45K","-0.44%"
"Dec 18, 2019","9,000","9,040","9,040","8,980","183.46K","-0.33%"
"Dec 17, 2019","9,030","8,965","9,085","8,940","493.20K","1.01%"
"Dec 16, 2019","8,940","8,930","8,950","8,910","156.89K","0.11%"
"Dec 13, 2019","8,930","8,905","8,965","8,895","435.94K","1.25%"
"Dec 12, 2019","8,820","8,875","8,895","8,795","108.49K","-0.56%"
"Dec 11, 2019","8,870","8,845","8,875","8,830","112.13K","0.28%"
"Dec 10, 2019","8,845","8,800","8,855","8,780","232.25K","0.34%"
"Dec 09, 2019","8,815","8,820","8,845","8,795","116.59K","0.00%"
"Dec 06, 2019","8,815","8,830","8,830","8,790","111.50K","0.28%"
"Dec 05, 2019","8,790","8,700","8,790","8,700","162.80K","1.09%"
"Dec 04, 2019","8,695","8,675","8,705","8,620","393.45K","-0.11%"
"Dec 03, 2019","8,705","8,670","8,705","8,620","80.87K","0.40%"
"Dec 02, 2019","8,670","8,625","8,705","8,625","116.86K","0.52%"
"Nov 29, 2019","8,625","8,705","8,705","8,585","134.69K","-0.75%"
"Nov 28, 2019","8,690","8,705","8,750","8,660","130.11K","-0.17%"
"Nov 27, 2019","8,705","8,755","8,770","8,685","246.05K","-0.57%"
