,date,change,vaa_score,predict
0,2018-01-02,-0.0032941176470587807,20458.22706863374,1.0
1,2018-01-03,0.007082152974504208,21343.22738853503,1.0
2,2018-01-04,0.006563525550867366,22448.229746835445,1.0
3,2018-01-05,0.004502406458624542,23118.35912129895,1.0
4,2018-01-08,0.006491499227202491,22783.525084148103,1.0
5,2018-01-09,0.00046068796068787776,22773.48084291188,1.0
6,2018-01-10,0.0019953952417497423,23368.493779904304,1.0
7,2018-01-11,0.0009191176470588758,23193.429930247305,1.0
8,2018-01-12,0.005815733088460284,24548.46073629325,1.0
9,2018-01-16,0.002870957993351464,26548.574044837384,1.0
10,2018-01-17,-0.004670784993219823,25053.564907275322,1.0
11,2018-01-18,0.006811989100817373,26618.511678946543,1.0
12,2018-01-19,-0.003007066606525388,25378.44673862037,1.0
13,2018-01-22,0.0051274317599154795,26043.52819548872,1.0
14,2018-01-23,0.011402850712678214,29138.710873664364,1.0
15,2018-01-24,-0.00044503782821536664,28663.665413533832,1.0
16,2018-01-25,0.00029682398337782523,29143.68904926263,1.0
17,2018-01-26,0.0016320474777447025,29698.701787394166,1.0
18,2018-01-29,0.009628203229151255,31348.83011764706,1.0
19,2018-01-30,-0.011150234741784004,28268.728989612842,1.0
20,2018-01-31,-0.004599406528189909,26693.581340834506,1.0
21,2018-02-01,0.0025339096735728095,27988.53097345133,1.0
22,2018-02-02,-0.005501040737436846,26388.40618238022,1.0
23,2018-02-05,-0.024667364329496233,20428.022113022114,1.0
24,2018-02-06,-0.06039239730226853,5757.290867229471,1.0
25,2018-02-07,0.03213703099510612,13072.630514705883,1.0
26,2018-02-08,0.0014224751066855834,13152.636363636364,1.0
27,2018-02-09,-0.025726010101010055,7677.2714546561165,1.0
28,2018-02-12,0.011987688320103773,10572.327289211242,1.0
29,2018-02-13,0.004802305106451188,11902.349103510622,1.0
30,2018-02-14,0.007646965110721604,13812.489554950045,1.0
31,2018-02-20,-0.00630090671584449,19437.701402503393,1.0
32,2018-02-21,-0.005722239406124374,17457.575093773445,1.0
33,2018-02-22,-0.00793280447970135,15412.353805073431,1.0
34,2018-02-23,0.012699905926622845,18017.503116651824,1.0
35,2018-02-26,0.009908654590493837,20047.61364985163,1.0
36,2018-02-27,0.008891614287904304,22927.697822544807,1.0
37,2018-02-28,-0.012460112444917182,19412.44190140845,1.0
38,2018-03-02,-0.02384982304969996,13432.294955489615,1.0
39,2018-03-05,-0.0014186633039091623,11927.331047846177,1.0
40,2018-03-06,0.01783741120757698,16007.50401427297,1.0
41,2018-03-07,-0.012096774193548376,12427.427717147555,1.0
42,2018-03-08,0.013343799058084693,14462.873083997547,1.0
43,2018-03-09,0.005577072037180386,15968.706688417618,1.0
44,2018-03-12,0.02095208750577715,21243.568990042673,1.0
45,2018-03-13,-0.00497962879130831,19263.488636363636,1.0
46,2018-03-14,-0.0071276918410676515,17348.727037097036,1.0
47,2018-03-15,-0.003971284557812704,15988.526332639667,1.0
48,2018-03-16,-0.001380156417727374,15093.449259200255,1.0
49,2018-03-19,-0.0027641277641277107,14428.320632411067,1.0
50,2018-03-20,-0.007391438250692994,12292.887505763025,1.0
51,2018-03-21,-0.0010859447719515636,12257.949891741417,1.0
52,2018-03-22,-0.0007765180928716031,10408.009332711154,1.0
53,2018-03-23,-0.03574759092322044,2072.672624647225,1.0
54,2018-03-26,-0.0019342359767892114,1582.5039479795632,1.0
55,2018-03-27,0.019702842377260943,6177.615514333896,1.0
56,2018-03-28,-0.02106430155210648,1127.2706275642,1.0
57,2018-03-29,-0.0019414334250121845,937.3906754885365,1.0
58,2018-04-02,-0.002721306226988962,3072.8011049723755,1.0
59,2018-04-03,-0.02038523274478332,-1207.64205955335,1.0
60,2018-04-04,0.008848107488120593,1007.5987441130296,1.0
61,2018-04-05,0.019327594607763565,4347.667234701781,1.0
62,2018-04-06,-0.006851497769279846,1942.5230318903095,1.0
63,2018-04-09,-0.004492218835231876,137.23585332729726,1.0
64,2018-04-10,0.011281224818694646,1497.4194722474977,1.0
65,2018-04-11,-0.005896414342629441,-647.5663662746292,1.0
66,2018-04-12,0.0020840012824623333,-437.4968563103821,1.0
67,2018-04-13,0.007518796992481258,1072.6056511056513,1.0
68,2018-04-16,0.0011114639568117202,1047.6507545426548,1.0
