"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2020","126,205","126,410","126,435","126,115","3.12K","-0.24%"
"Nov 05, 2020","126,510","126,275","126,590","126,275","2.33K","0.33%"
"Nov 04, 2020","126,100","125,530","126,185","125,325","3.52K","0.29%"
"Nov 03, 2020","125,730","120,000","126,000","120,000","3.18K","-0.01%"
"Nov 02, 2020","125,740","126,045","126,095","125,730","27.36K","-0.48%"
"Oct 30, 2020","126,345","126,470","126,470","126,255","3.33K","-0.18%"
"Oct 29, 2020","126,575","126,660","126,700","126,550","1.51K","-0.16%"
"Oct 28, 2020","126,780","126,925","126,965","126,780","2.01K","-0.03%"
"Oct 27, 2020","126,815","126,995","127,000","126,600","2.77K","-0.14%"
"Oct 26, 2020","126,995","127,220","127,220","126,905","4.85K","0.10%"
"Oct 23, 2020","126,865","126,500","126,925","126,340","1.98K","0.10%"
"Oct 22, 2020","126,735","126,605","126,775","126,600","1.82K","0.13%"
"Oct 21, 2020","126,575","127,170","127,170","126,540","2.25K","-0.47%"
"Oct 20, 2020","127,175","127,340","127,435","127,100","6.00K","-0.12%"
"Oct 19, 2020","127,330","126,475","127,400","126,460","23.71K","0.33%"
"Oct 16, 2020","126,915","126,905","126,925","126,715","3.42K","-0.04%"
"Oct 15, 2020","126,970","126,700","127,075","126,680","18.85K","0.33%"
"Oct 14, 2020","126,550","126,610","126,705","126,460","4.00K","0.19%"
"Oct 13, 2020","126,315","126,105","126,390","126,105","7.17K","0.12%"
"Oct 12, 2020","126,160","126,200","126,310","126,105","24.56K","-0.03%"
"Oct 08, 2020","126,200","126,235","126,410","126,110","19.65K","-0.11%"
"Oct 07, 2020","126,345","126,485","126,520","126,345","1.80K","-0.11%"
"Oct 06, 2020","126,485","126,920","126,920","126,185","6.70K","-0.34%"
"Oct 05, 2020","126,920","127,490","127,490","126,905","4.11K","-0.35%"
"Sep 29, 2020","127,360","127,380","127,525","127,215","5.65K","-0.09%"
"Sep 28, 2020","127,480","127,385","127,520","127,345","3.16K","0.20%"
"Sep 25, 2020","127,225","127,340","127,355","127,130","5.23K","0.02%"
"Sep 24, 2020","127,200","127,165","127,265","127,060","52.10K","0.03%"
"Sep 23, 2020","127,165","126,900","127,250","126,810","3.40K","0.30%"
"Sep 22, 2020","126,780","126,640","126,885","126,640","2.70K","0.21%"
"Sep 21, 2020","126,520","126,405","126,700","126,405","5.96K","0.01%"
"Sep 18, 2020","126,505","126,555","126,650","126,325","4.18K","0.05%"
"Sep 17, 2020","126,445","126,665","126,665","126,355","2.16K","-0.17%"
"Sep 16, 2020","126,660","126,520","126,690","126,375","4.98K","0.18%"
"Sep 15, 2020","126,435","126,330","126,530","126,250","2.53K","0.08%"
"Sep 14, 2020","126,340","126,190","126,340","126,020","5.34K","0.12%"
"Sep 11, 2020","126,190","126,400","126,400","126,120","2.05K","-0.09%"
"Sep 10, 2020","126,300","126,060","126,565","126,060","10.25K","0.04%"
"Sep 09, 2020","126,245","126,800","126,800","126,140","7.29K","0.32%"
"Sep 08, 2020","125,840","125,790","126,090","125,665","11.03K","0.02%"
"Sep 07, 2020","125,820","126,525","126,565","125,615","14.29K","-0.31%"
"Sep 04, 2020","126,205","126,355","126,355","125,915","3.67K","-0.02%"
"Sep 03, 2020","126,230","125,860","126,300","125,840","4.49K","0.13%"
"Sep 02, 2020","126,060","125,785","126,180","125,480","108.67K","0.38%"
"Sep 01, 2020","125,580","126,000","126,200","125,000","7.67K","-0.57%"
"Aug 31, 2020","126,305","126,480","126,655","126,095","12.82K","-0.15%"
"Aug 28, 2020","126,495","126,960","126,960","126,320","19.85K","-0.56%"
"Aug 27, 2020","127,205","127,440","127,735","127,040","81.87K","-0.18%"
"Aug 26, 2020","127,440","127,580","127,580","127,270","3.40K","-0.12%"
"Aug 25, 2020","127,590","127,640","127,765","127,500","29.04K","-0.04%"
"Aug 24, 2020","127,640","127,500","127,725","127,330","5.26K","0.16%"
"Aug 21, 2020","127,435","127,630","127,770","127,345","7.50K","-0.23%"
"Aug 20, 2020","127,725","127,970","127,970","127,640","12.12K","-0.28%"
"Aug 19, 2020","128,085","128,645","128,645","127,745","3.58K","0.13%"
"Aug 18, 2020","127,925","127,535","127,925","127,510","10.66K","0.31%"
"Aug 14, 2020","127,535","127,770","127,770","127,410","11.78K","-0.23%"
"Aug 13, 2020","127,825","127,680","127,835","127,680","13.91K","0.03%"
"Aug 12, 2020","127,790","127,895","127,895","127,660","4.91K","-0.15%"
