,date,change,vaa_score,predict
0,2018-01-02,0.011759116284594473,3521.197613365155,1.0
1,2018-01-03,0.009039680676214967,4005.250861147405,1.0
2,2018-01-04,0.0,3792.272727272727,1.0
3,2018-01-05,0.0076788830715532885,4399.352270026147,1.0
4,2018-01-08,0.0005773005426625843,4259.409546539379,1.0
5,2018-01-09,0.001615508885298933,3811.501200192031,1.0
6,2018-01-10,0.006682027649769662,4139.428114258622,1.0
7,2018-01-11,0.0016021972991531186,4243.300773014757,1.0
8,2018-01-12,0.0031992687385740126,4433.36910072787,1.0
9,2018-01-16,0.005977893074667229,5756.679540338822,1.0
10,2018-01-17,0.0015696826998541358,5804.834770114942,1.0
11,2018-01-18,0.0059330572036269125,6090.92639654759,1.0
12,2018-01-19,0.0036723792566213387,6380.847578347579,1.0
13,2018-01-22,0.01263998225967411,7221.99608680185,1.0
14,2018-01-23,0.018394831928172595,8221.029652113004,1.0
15,2018-01-24,-0.0005375766046661345,7753.0960319323785,1.0
16,2018-01-25,0.0024741824440619453,7595.193487494102,1.0
17,2018-01-26,0.0041849983903852195,7763.429323128438,1.0
18,2018-01-29,-0.017952553964522333,7121.098942867324,1.0
19,2018-01-30,-0.006746463547334103,6664.859356656492,1.0
20,2018-01-31,-0.0025197195442594467,6576.712041884817,1.0
21,2018-02-01,-0.003185063152114198,6515.671553228622,1.0
22,2018-02-02,0.011458792419568153,7168.71908555594,1.0
23,2018-02-05,0.002178649237472685,7067.7394414955,1.0
24,2018-02-06,-0.033695652173913015,4607.290322580645,1.0
25,2018-02-07,-0.005849268841394806,4376.13733119707,1.0
26,2018-02-08,-0.017877347816248057,3390.9012797074956,1.0
27,2018-02-09,-0.05207373271889404,-387.7544419134397,1.0
28,2018-02-12,0.01446280991735538,236.29754116850881,1.0
29,2018-02-13,0.009704085300107801,746.3393878237471,1.0
30,2018-02-14,-0.004627432368296103,893.2692264636739,1.0
31,2018-02-20,0.0017415534656914922,2919.479764940681,1.0
32,2018-02-21,0.006606397774687078,3133.411365378299,1.0
33,2018-02-22,0.008290155440414448,3698.2981399849477,1.0
34,2018-02-23,0.004910357428343115,3384.3597246127365,1.0
35,2018-02-26,0.007500000000000062,3754.4166756089708,1.0
36,2018-02-27,-0.011166253101737023,3863.2421457576406,1.0
37,2018-02-28,-0.0011406410402646783,4062.434602829162,1.0
38,2018-03-02,-0.008221993833504637,3967.417616126205,1.0
39,2018-03-05,0.0017271157167531026,4277.4662273476115,1.0
40,2018-03-06,0.004827586206896495,4557.5583957690615,1.0
41,2018-03-07,-0.004232441088995675,3794.3790849673205,1.0
42,2018-03-08,0.00482481332567497,4076.4091304347826,1.0
43,2018-03-09,0.0011432491139820034,3962.820472440945,1.0
